"NO SUCCURSALE";"CODE SAQ (CIP)";"QTÉ INVENTAIRE(unités)";"ANNÉE";"PÉRIODE";"SEMAINE";"DATE DU JOUR"
'23001';'14954892';13;2025;11;3;'2026/01/24'
'23002';'14064873';10;2025;11;3;'2026/01/24'
'23002';'14682882';44;2025;11;3;'2026/01/24'
'23002';'14758699';39;2025;11;3;'2026/01/24'
'23002';'14954868';4;2025;11;3;'2026/01/24'
'23002';'14954892';10;2025;11;3;'2026/01/24'
'23002';'14989809';11;2025;11;3;'2026/01/24'
'23002';'14989825';54;2025;11;3;'2026/01/24'
'23002';'15095284';5;2025;11;3;'2026/01/24'
'23002';'15168156';186;2025;11;3;'2026/01/24'
'23002';'15298014';45;2025;11;3;'2026/01/24'
'23002';'15474217';136;2025;11;3;'2026/01/24'
'23002';'15489099';8;2025;11;3;'2026/01/24'
'23002';'15521562';49;2025;11;3;'2026/01/24'
'23003';'14064873';1;2025;11;3;'2026/01/24'
'23003';'14954892';4;2025;11;3;'2026/01/24'
'23004';'14682882';9;2025;11;3;'2026/01/24'
'23004';'14954868';12;2025;11;3;'2026/01/24'
'23004';'14954892';12;2025;11;3;'2026/01/24'
'23004';'14989809';9;2025;11;3;'2026/01/24'
'23004';'14989825';9;2025;11;3;'2026/01/24'
'23004';'15168156';18;2025;11;3;'2026/01/24'
'23004';'15303910';11;2025;11;3;'2026/01/24'
'23004';'15384553';3;2025;11;3;'2026/01/24'
'23005';'14954868';13;2025;11;3;'2026/01/24'
'23006';'14682882';9;2025;11;3;'2026/01/24'
'23006';'14954868';10;2025;11;3;'2026/01/24'
'23006';'14954892';17;2025;11;3;'2026/01/24'
'23006';'14989809';9;2025;11;3;'2026/01/24'
'23006';'15298014';80;2025;11;3;'2026/01/24'
'23006';'15311581';10;2025;11;3;'2026/01/24'
'23006';'15474217';37;2025;11;3;'2026/01/24'
'23008';'14064873';6;2025;11;3;'2026/01/24'
'23008';'14954868';7;2025;11;3;'2026/01/24'
'23008';'14954892';6;2025;11;3;'2026/01/24'
'23008';'14989825';7;2025;11;3;'2026/01/24'
'23008';'15168156';6;2025;11;3;'2026/01/24'
'23008';'15474217';48;2025;11;3;'2026/01/24'
'23009';'14682882';7;2025;11;3;'2026/01/24'
'23009';'15303910';3;2025;11;3;'2026/01/24'
'23010';'14064873';18;2025;11;3;'2026/01/24'
'23010';'14758699';3;2025;11;3;'2026/01/24'
'23010';'14954892';8;2025;11;3;'2026/01/24'
'23010';'14989788';17;2025;11;3;'2026/01/24'
'23011';'14064873';8;2025;11;3;'2026/01/24'
'23011';'14954892';9;2025;11;3;'2026/01/24'
'23011';'14989788';8;2025;11;3;'2026/01/24'
'23011';'14989809';2;2025;11;3;'2026/01/24'
'23011';'15095284';3;2025;11;3;'2026/01/24'
'23011';'15303910';2;2025;11;3;'2026/01/24'
'23011';'15474217';8;2025;11;3;'2026/01/24'
'23013';'15298014';24;2025;11;3;'2026/01/24'
'23016';'14064873';7;2025;11;3;'2026/01/24'
'23016';'14545132';4;2025;11;3;'2026/01/24'
'23016';'14682882';4;2025;11;3;'2026/01/24'
'23016';'14758699';10;2025;11;3;'2026/01/24'
'23016';'14954868';7;2025;11;3;'2026/01/24'
'23016';'14954892';7;2025;11;3;'2026/01/24'
'23016';'14989809';-1;2025;11;3;'2026/01/24'
'23016';'15384553';3;2025;11;3;'2026/01/24'
'23016';'15474217';208;2025;11;3;'2026/01/24'
'23016';'15489099';10;2025;11;3;'2026/01/24'
'23016';'15521562';15;2025;11;3;'2026/01/24'
'23018';'14682882';61;2025;11;3;'2026/01/24'
'23018';'14954892';58;2025;11;3;'2026/01/24'
'23018';'14989788';11;2025;11;3;'2026/01/24'
'23018';'14989809';5;2025;11;3;'2026/01/24'
'23018';'15384553';5;2025;11;3;'2026/01/24'
'23019';'14682882';12;2025;11;3;'2026/01/24'
'23019';'14758699';6;2025;11;3;'2026/01/24'
'23021';'14001338';1;2025;11;3;'2026/01/24'
'23021';'14064873';3;2025;11;3;'2026/01/24'
'23021';'14682882';7;2025;11;3;'2026/01/24'
'23021';'14954892';12;2025;11;3;'2026/01/24'
'23021';'14989825';12;2025;11;3;'2026/01/24'
'23023';'14682882';1;2025;11;3;'2026/01/24'
'23025';'14064873';34;2025;11;3;'2026/01/24'
'23025';'14682882';12;2025;11;3;'2026/01/24'
'23025';'14954868';12;2025;11;3;'2026/01/24'
'23025';'14954892';53;2025;11;3;'2026/01/24'
'23025';'14989825';52;2025;11;3;'2026/01/24'
'23025';'15298014';40;2025;11;3;'2026/01/24'
'23025';'15303872';5;2025;11;3;'2026/01/24'
'23025';'15521562';8;2025;11;3;'2026/01/24'
'23026';'14682882';35;2025;11;3;'2026/01/24'
'23026';'14954892';16;2025;11;3;'2026/01/24'
'23026';'14989770';5;2025;11;3;'2026/01/24'
'23028';'14954892';10;2025;11;3;'2026/01/24'
'23028';'14989825';13;2025;11;3;'2026/01/24'
'23028';'15298014';132;2025;11;3;'2026/01/24'
'23028';'15474217';16;2025;11;3;'2026/01/24'
'23029';'14682882';10;2025;11;3;'2026/01/24'
'23029';'14954892';16;2025;11;3;'2026/01/24'
'23029';'14989825';3;2025;11;3;'2026/01/24'
'23029';'15384553';1;2025;11;3;'2026/01/24'
'23029';'15525563';1;2025;11;3;'2026/01/24'
'23030';'14954892';1;2025;11;3;'2026/01/24'
'23031';'14682882';15;2025;11;3;'2026/01/24'
'23031';'14989809';5;2025;11;3;'2026/01/24'
'23032';'14989809';1;2025;11;3;'2026/01/24'
'23033';'14989809';7;2025;11;3;'2026/01/24'
'23033';'15474217';44;2025;11;3;'2026/01/24'
'23036';'14682882';3;2025;11;3;'2026/01/24'
'23036';'14758699';9;2025;11;3;'2026/01/24'
'23036';'14954868';4;2025;11;3;'2026/01/24'
'23036';'14954892';7;2025;11;3;'2026/01/24'
'23036';'14989770';3;2025;11;3;'2026/01/24'
'23036';'14989788';1;2025;11;3;'2026/01/24'
'23036';'14989809';3;2025;11;3;'2026/01/24'
'23036';'14989825';7;2025;11;3;'2026/01/24'
'23036';'15095284';9;2025;11;3;'2026/01/24'
'23036';'15303910';13;2025;11;3;'2026/01/24'
'23036';'15489099';3;2025;11;3;'2026/01/24'
'23037';'14064873';50;2025;11;3;'2026/01/24'
'23037';'14682882';20;2025;11;3;'2026/01/24'
'23037';'14758699';9;2025;11;3;'2026/01/24'
'23037';'14954868';5;2025;11;3;'2026/01/24'
'23037';'14954892';41;2025;11;3;'2026/01/24'
'23037';'14989809';6;2025;11;3;'2026/01/24'
'23037';'14989825';18;2025;11;3;'2026/01/24'
'23037';'14989833';8;2025;11;3;'2026/01/24'
'23037';'15095284';19;2025;11;3;'2026/01/24'
'23037';'15298014';44;2025;11;3;'2026/01/24'
'23037';'15303872';10;2025;11;3;'2026/01/24'
'23037';'15303910';14;2025;11;3;'2026/01/24'
'23037';'15489099';5;2025;11;3;'2026/01/24'
'23040';'14682882';3;2025;11;3;'2026/01/24'
'23040';'14954892';4;2025;11;3;'2026/01/24'
'23040';'14989788';1;2025;11;3;'2026/01/24'
'23040';'14989809';11;2025;11;3;'2026/01/24'
'23040';'15095284';8;2025;11;3;'2026/01/24'
'23040';'15298014';4;2025;11;3;'2026/01/24'
'23040';'15303910';13;2025;11;3;'2026/01/24'
'23040';'15384553';3;2025;11;3;'2026/01/24'
'23041';'14954892';7;2025;11;3;'2026/01/24'
'23042';'14954892';11;2025;11;3;'2026/01/24'
'23042';'14989770';11;2025;11;3;'2026/01/24'
'23042';'14989788';23;2025;11;3;'2026/01/24'
'23042';'14989809';15;2025;11;3;'2026/01/24'
'23042';'14989825';16;2025;11;3;'2026/01/24'
'23042';'15311581';6;2025;11;3;'2026/01/24'
'23042';'15384553';11;2025;11;3;'2026/01/24'
'23042';'15474217';68;2025;11;3;'2026/01/24'
'23044';'14954892';22;2025;11;3;'2026/01/24'
'23045';'14064873';11;2025;11;3;'2026/01/24'
'23045';'14954892';17;2025;11;3;'2026/01/24'
'23048';'14682882';3;2025;11;3;'2026/01/24'
'23048';'14954892';11;2025;11;3;'2026/01/24'
'23048';'14989825';37;2025;11;3;'2026/01/24'
'23048';'15298014';32;2025;11;3;'2026/01/24'
'23048';'15384553';9;2025;11;3;'2026/01/24'
'23048';'15489099';7;2025;11;3;'2026/01/24'
'23048';'15525563';1;2025;11;3;'2026/01/24'
'23049';'14954892';7;2025;11;3;'2026/01/24'
'23049';'15474217';129;2025;11;3;'2026/01/24'
'23050';'14064873';20;2025;11;3;'2026/01/24'
'23050';'14682882';12;2025;11;3;'2026/01/24'
'23050';'14758699';5;2025;11;3;'2026/01/24'
'23050';'14954868';6;2025;11;3;'2026/01/24'
'23050';'14954892';23;2025;11;3;'2026/01/24'
'23050';'14989770';9;2025;11;3;'2026/01/24'
'23050';'14989788';8;2025;11;3;'2026/01/24'
'23050';'14989809';13;2025;11;3;'2026/01/24'
'23050';'14989825';17;2025;11;3;'2026/01/24'
'23050';'15298014';4;2025;11;3;'2026/01/24'
'23050';'15303872';8;2025;11;3;'2026/01/24'
'23050';'15303910';6;2025;11;3;'2026/01/24'
'23050';'15384553';4;2025;11;3;'2026/01/24'
'23050';'15489099';6;2025;11;3;'2026/01/24'
'23050';'15525563';2;2025;11;3;'2026/01/24'
'23051';'14064873';1;2025;11;3;'2026/01/24'
'23051';'14758699';1;2025;11;3;'2026/01/24'
'23051';'14954892';13;2025;11;3;'2026/01/24'
'23051';'15311581';12;2025;11;3;'2026/01/24'
'23051';'15489099';12;2025;11;3;'2026/01/24'
'23052';'14682882';1;2025;11;3;'2026/01/24'
'23052';'15298014';8;2025;11;3;'2026/01/24'
'23053';'14064873';11;2025;11;3;'2026/01/24'
'23053';'14954868';6;2025;11;3;'2026/01/24'
'23053';'14954892';9;2025;11;3;'2026/01/24'
'23053';'14989809';6;2025;11;3;'2026/01/24'
'23053';'14989825';12;2025;11;3;'2026/01/24'
'23053';'15095284';2;2025;11;3;'2026/01/24'
'23053';'15474217';5;2025;11;3;'2026/01/24'
'23054';'14545132';18;2025;11;3;'2026/01/24'
'23054';'14682882';9;2025;11;3;'2026/01/24'
'23054';'14758699';4;2025;11;3;'2026/01/24'
'23054';'14954868';16;2025;11;3;'2026/01/24'
'23054';'14989825';7;2025;11;3;'2026/01/24'
'23054';'15095284';8;2025;11;3;'2026/01/24'
'23054';'15303872';8;2025;11;3;'2026/01/24'
'23054';'15303910';8;2025;11;3;'2026/01/24'
'23054';'15474217';4;2025;11;3;'2026/01/24'
'23056';'14682882';28;2025;11;3;'2026/01/24'
'23056';'14954868';6;2025;11;3;'2026/01/24'
'23056';'14954892';7;2025;11;3;'2026/01/24'
'23056';'14989809';7;2025;11;3;'2026/01/24'
'23056';'15298014';116;2025;11;3;'2026/01/24'
'23056';'15303872';7;2025;11;3;'2026/01/24'
'23056';'15474217';24;2025;11;3;'2026/01/24'
'23057';'14561781';9;2025;11;3;'2026/01/24'
'23057';'14682882';20;2025;11;3;'2026/01/24'
'23057';'14758699';12;2025;11;3;'2026/01/24'
'23057';'14954868';11;2025;11;3;'2026/01/24'
'23057';'14989770';12;2025;11;3;'2026/01/24'
'23057';'14989809';6;2025;11;3;'2026/01/24'
'23057';'14989833';12;2025;11;3;'2026/01/24'
'23057';'15095284';13;2025;11;3;'2026/01/24'
'23057';'15298014';36;2025;11;3;'2026/01/24'
'23057';'15303910';7;2025;11;3;'2026/01/24'
'23057';'15311581';21;2025;11;3;'2026/01/24'
'23058';'14064873';12;2025;11;3;'2026/01/24'
'23058';'14682882';6;2025;11;3;'2026/01/24'
'23058';'14954892';18;2025;11;3;'2026/01/24'
'23058';'15474217';136;2025;11;3;'2026/01/24'
'23059';'14954892';1;2025;11;3;'2026/01/24'
'23059';'15298014';16;2025;11;3;'2026/01/24'
'23060';'14064873';12;2025;11;3;'2026/01/24'
'23060';'14561781';6;2025;11;3;'2026/01/24'
'23060';'14682882';15;2025;11;3;'2026/01/24'
'23060';'14758699';15;2025;11;3;'2026/01/24'
'23060';'14954868';9;2025;11;3;'2026/01/24'
'23060';'14954892';10;2025;11;3;'2026/01/24'
'23060';'14989788';1;2025;11;3;'2026/01/24'
'23060';'14989825';25;2025;11;3;'2026/01/24'
'23060';'15168156';1;2025;11;3;'2026/01/24'
'23060';'15298014';5;2025;11;3;'2026/01/24'
'23060';'15303910';14;2025;11;3;'2026/01/24'
'23060';'15384553';5;2025;11;3;'2026/01/24'
'23060';'15489099';10;2025;11;3;'2026/01/24'
'23061';'14682882';2;2025;11;3;'2026/01/24'
'23061';'14954868';11;2025;11;3;'2026/01/24'
'23061';'14954892';15;2025;11;3;'2026/01/24'
'23061';'15298014';48;2025;11;3;'2026/01/24'
'23061';'15474217';60;2025;11;3;'2026/01/24'
'23062';'14064873';8;2025;11;3;'2026/01/24'
'23062';'14682882';8;2025;11;3;'2026/01/24'
'23062';'14758699';13;2025;11;3;'2026/01/24'
'23062';'15095284';13;2025;11;3;'2026/01/24'
'23062';'15168156';54;2025;11;3;'2026/01/24'
'23062';'15303910';4;2025;11;3;'2026/01/24'
'23062';'15384553';7;2025;11;3;'2026/01/24'
'23063';'14954868';6;2025;11;3;'2026/01/24'
'23063';'14954892';11;2025;11;3;'2026/01/24'
'23063';'14989809';4;2025;11;3;'2026/01/24'
'23063';'14989825';1;2025;11;3;'2026/01/24'
'23063';'15298014';15;2025;11;3;'2026/01/24'
'23063';'15474217';31;2025;11;3;'2026/01/24'
'23063';'15489099';7;2025;11;3;'2026/01/24'
'23064';'14954892';18;2025;11;3;'2026/01/24'
'23066';'14682882';10;2025;11;3;'2026/01/24'
'23066';'14954892';5;2025;11;3;'2026/01/24'
'23066';'14989825';1;2025;11;3;'2026/01/24'
'23066';'15168156';222;2025;11;3;'2026/01/24'
'23066';'15303872';15;2025;11;3;'2026/01/24'
'23066';'15303910';4;2025;11;3;'2026/01/24'
'23067';'14758699';3;2025;11;3;'2026/01/24'
'23067';'14989788';12;2025;11;3;'2026/01/24'
'23067';'15298014';12;2025;11;3;'2026/01/24'
'23068';'14682882';14;2025;11;3;'2026/01/24'
'23068';'15303872';9;2025;11;3;'2026/01/24'
'23069';'14064873';12;2025;11;3;'2026/01/24'
'23069';'14545132';2;2025;11;3;'2026/01/24'
'23069';'14682882';8;2025;11;3;'2026/01/24'
'23069';'14758699';6;2025;11;3;'2026/01/24'
'23069';'14954868';13;2025;11;3;'2026/01/24'
'23069';'14954892';7;2025;11;3;'2026/01/24'
'23069';'14989788';9;2025;11;3;'2026/01/24'
'23069';'14989809';10;2025;11;3;'2026/01/24'
'23069';'14989825';32;2025;11;3;'2026/01/24'
'23069';'15095284';6;2025;11;3;'2026/01/24'
'23069';'15298014';12;2025;11;3;'2026/01/24'
'23069';'15303872';7;2025;11;3;'2026/01/24'
'23069';'15303910';23;2025;11;3;'2026/01/24'
'23069';'15311581';3;2025;11;3;'2026/01/24'
'23069';'15384553';7;2025;11;3;'2026/01/24'
'23069';'15474217';44;2025;11;3;'2026/01/24'
'23069';'15489099';9;2025;11;3;'2026/01/24'
'23070';'14064873';3;2025;11;3;'2026/01/24'
'23070';'14545132';9;2025;11;3;'2026/01/24'
'23070';'14561781';2;2025;11;3;'2026/01/24'
'23070';'14682882';11;2025;11;3;'2026/01/24'
'23070';'14758699';8;2025;11;3;'2026/01/24'
'23070';'14954868';11;2025;11;3;'2026/01/24'
'23070';'14954892';14;2025;11;3;'2026/01/24'
'23070';'14989770';7;2025;11;3;'2026/01/24'
'23070';'14989788';4;2025;11;3;'2026/01/24'
'23070';'14989809';12;2025;11;3;'2026/01/24'
'23070';'14989825';5;2025;11;3;'2026/01/24'
'23070';'14989833';12;2025;11;3;'2026/01/24'
'23070';'15095284';7;2025;11;3;'2026/01/24'
'23070';'15168156';90;2025;11;3;'2026/01/24'
'23070';'15298014';144;2025;11;3;'2026/01/24'
'23070';'15303872';14;2025;11;3;'2026/01/24'
'23070';'15303910';17;2025;11;3;'2026/01/24'
'23070';'15311581';11;2025;11;3;'2026/01/24'
'23070';'15384553';16;2025;11;3;'2026/01/24'
'23070';'15474217';160;2025;11;3;'2026/01/24'
'23070';'15489099';11;2025;11;3;'2026/01/24'
'23071';'14064873';12;2025;11;3;'2026/01/24'
'23071';'14682882';15;2025;11;3;'2026/01/24'
'23071';'14954892';11;2025;11;3;'2026/01/24'
'23071';'15384553';2;2025;11;3;'2026/01/24'
'23073';'14954892';11;2025;11;3;'2026/01/24'
'23073';'15095284';3;2025;11;3;'2026/01/24'
'23073';'15474217';32;2025;11;3;'2026/01/24'
'23074';'14954892';12;2025;11;3;'2026/01/24'
'23074';'15298014';4;2025;11;3;'2026/01/24'
'23074';'15474217';4;2025;11;3;'2026/01/24'
'23075';'14954892';13;2025;11;3;'2026/01/24'
'23075';'14989788';10;2025;11;3;'2026/01/24'
'23075';'14989809';11;2025;11;3;'2026/01/24'
'23075';'15489099';15;2025;11;3;'2026/01/24'
'23076';'14064873';10;2025;11;3;'2026/01/24'
'23076';'14954892';11;2025;11;3;'2026/01/24'
'23079';'14682882';13;2025;11;3;'2026/01/24'
'23079';'14954892';18;2025;11;3;'2026/01/24'
'23080';'14682882';7;2025;11;3;'2026/01/24'
'23080';'14954868';9;2025;11;3;'2026/01/24'
'23080';'14989770';9;2025;11;3;'2026/01/24'
'23080';'15095284';11;2025;11;3;'2026/01/24'
'23080';'15384553';1;2025;11;3;'2026/01/24'
'23081';'14682882';20;2025;11;3;'2026/01/24'
'23081';'14954892';6;2025;11;3;'2026/01/24'
'23081';'14989825';2;2025;11;3;'2026/01/24'
'23081';'15298014';4;2025;11;3;'2026/01/24'
'23081';'15303910';10;2025;11;3;'2026/01/24'
'23081';'15474217';56;2025;11;3;'2026/01/24'
'23081';'15489099';15;2025;11;3;'2026/01/24'
'23081';'15521562';148;2025;11;3;'2026/01/24'
'23082';'14064873';46;2025;11;3;'2026/01/24'
'23082';'14545132';8;2025;11;3;'2026/01/24'
'23082';'14561781';22;2025;11;3;'2026/01/24'
'23082';'14682882';52;2025;11;3;'2026/01/24'
'23082';'14758699';15;2025;11;3;'2026/01/24'
'23082';'14954868';56;2025;11;3;'2026/01/24'
'23082';'14954892';73;2025;11;3;'2026/01/24'
'23082';'14989770';69;2025;11;3;'2026/01/24'
'23082';'14989788';42;2025;11;3;'2026/01/24'
'23082';'14989809';70;2025;11;3;'2026/01/24'
'23082';'14989825';62;2025;11;3;'2026/01/24'
'23082';'14989833';18;2025;11;3;'2026/01/24'
'23082';'15095284';10;2025;11;3;'2026/01/24'
'23082';'15168156';894;2025;11;3;'2026/01/24'
'23082';'15298014';1165;2025;11;3;'2026/01/24'
'23082';'15303872';62;2025;11;3;'2026/01/24'
'23082';'15303910';51;2025;11;3;'2026/01/24'
'23082';'15311581';43;2025;11;3;'2026/01/24'
'23082';'15384553';11;2025;11;3;'2026/01/24'
'23082';'15474217';1119;2025;11;3;'2026/01/24'
'23082';'15489099';50;2025;11;3;'2026/01/24'
'23082';'15521562';9;2025;11;3;'2026/01/24'
'23084';'14682882';12;2025;11;3;'2026/01/24'
'23084';'14758699';3;2025;11;3;'2026/01/24'
'23084';'14954892';33;2025;11;3;'2026/01/24'
'23084';'14989809';8;2025;11;3;'2026/01/24'
'23084';'15168156';2;2025;11;3;'2026/01/24'
'23084';'15311581';3;2025;11;3;'2026/01/24'
'23084';'15384553';2;2025;11;3;'2026/01/24'
'23084';'15474217';4;2025;11;3;'2026/01/24'
'23084';'15489099';8;2025;11;3;'2026/01/24'
'23085';'14954892';13;2025;11;3;'2026/01/24'
'23086';'14561781';7;2025;11;3;'2026/01/24'
'23086';'14682882';11;2025;11;3;'2026/01/24'
'23086';'14954892';1;2025;11;3;'2026/01/24'
'23086';'14989788';4;2025;11;3;'2026/01/24'
'23086';'14989809';5;2025;11;3;'2026/01/24'
'23087';'14682882';6;2025;11;3;'2026/01/24'
'23087';'15474217';79;2025;11;3;'2026/01/24'
'23088';'14954892';5;2025;11;3;'2026/01/24'
'23088';'15168156';18;2025;11;3;'2026/01/24'
'23090';'14064873';7;2025;11;3;'2026/01/24'
'23090';'14545132';10;2025;11;3;'2026/01/24'
'23090';'14682882';34;2025;11;3;'2026/01/24'
'23090';'14758699';5;2025;11;3;'2026/01/24'
'23090';'14954892';1;2025;11;3;'2026/01/24'
'23090';'14989809';5;2025;11;3;'2026/01/24'
'23090';'15168156';24;2025;11;3;'2026/01/24'
'23091';'14064873';11;2025;11;3;'2026/01/24'
'23091';'14682882';10;2025;11;3;'2026/01/24'
'23091';'14954892';12;2025;11;3;'2026/01/24'
'23092';'14954892';15;2025;11;3;'2026/01/24'
'23094';'14989809';4;2025;11;3;'2026/01/24'
'23095';'14064873';5;2025;11;3;'2026/01/24'
'23095';'14561781';1;2025;11;3;'2026/01/24'
'23095';'14682882';1;2025;11;3;'2026/01/24'
'23095';'14954868';2;2025;11;3;'2026/01/24'
'23095';'14954892';4;2025;11;3;'2026/01/24'
'23095';'14989833';9;2025;11;3;'2026/01/24'
'23095';'15168156';108;2025;11;3;'2026/01/24'
'23095';'15311581';7;2025;11;3;'2026/01/24'
'23095';'15384553';1;2025;11;3;'2026/01/24'
'23095';'15474217';8;2025;11;3;'2026/01/24'
'23095';'15489099';1;2025;11;3;'2026/01/24'
'23096';'14064873';9;2025;11;3;'2026/01/24'
'23096';'14989825';5;2025;11;3;'2026/01/24'
'23096';'15095284';7;2025;11;3;'2026/01/24'
'23096';'15474217';123;2025;11;3;'2026/01/24'
'23097';'14758699';1;2025;11;3;'2026/01/24'
'23097';'14954868';1;2025;11;3;'2026/01/24'
'23097';'14989825';15;2025;11;3;'2026/01/24'
'23097';'15474217';80;2025;11;3;'2026/01/24'
'23098';'14682882';12;2025;11;3;'2026/01/24'
'23098';'14954892';10;2025;11;3;'2026/01/24'
'23098';'14989809';34;2025;11;3;'2026/01/24'
'23098';'15168156';36;2025;11;3;'2026/01/24'
'23098';'15474217';28;2025;11;3;'2026/01/24'
'23101';'14682882';11;2025;11;3;'2026/01/24'
'23101';'14954892';10;2025;11;3;'2026/01/24'
'23102';'14545132';56;2025;11;3;'2026/01/24'
'23102';'14682882';41;2025;11;3;'2026/01/24'
'23102';'14758699';35;2025;11;3;'2026/01/24'
'23102';'14954892';8;2025;11;3;'2026/01/24'
'23102';'14989770';12;2025;11;3;'2026/01/24'
'23102';'14989788';9;2025;11;3;'2026/01/24'
'23102';'14989809';44;2025;11;3;'2026/01/24'
'23102';'14989825';29;2025;11;3;'2026/01/24'
'23102';'15095284';24;2025;11;3;'2026/01/24'
'23102';'15303872';7;2025;11;3;'2026/01/24'
'23102';'15303910';21;2025;11;3;'2026/01/24'
'23102';'15311581';11;2025;11;3;'2026/01/24'
'23104';'14064873';16;2025;11;3;'2026/01/24'
'23104';'14682882';11;2025;11;3;'2026/01/24'
'23104';'14954892';10;2025;11;3;'2026/01/24'
'23104';'14989825';42;2025;11;3;'2026/01/24'
'23104';'15095284';11;2025;11;3;'2026/01/24'
'23104';'15303872';6;2025;11;3;'2026/01/24'
'23104';'15303910';14;2025;11;3;'2026/01/24'
'23104';'15311581';13;2025;11;3;'2026/01/24'
'23104';'15384553';4;2025;11;3;'2026/01/24'
'23104';'15474217';115;2025;11;3;'2026/01/24'
'23104';'15489099';15;2025;11;3;'2026/01/24'
'23104';'15521562';37;2025;11;3;'2026/01/24'
'23105';'14682882';13;2025;11;3;'2026/01/24'
'23105';'14954892';10;2025;11;3;'2026/01/24'
'23105';'14989788';4;2025;11;3;'2026/01/24'
'23105';'14989825';14;2025;11;3;'2026/01/24'
'23105';'15298014';20;2025;11;3;'2026/01/24'
'23105';'15311581';6;2025;11;3;'2026/01/24'
'23105';'15384553';3;2025;11;3;'2026/01/24'
'23105';'15474217';20;2025;11;3;'2026/01/24'
'23106';'14682882';7;2025;11;3;'2026/01/24'
'23106';'14954868';13;2025;11;3;'2026/01/24'
'23106';'14954892';14;2025;11;3;'2026/01/24'
'23106';'14989833';12;2025;11;3;'2026/01/24'
'23106';'15168156';198;2025;11;3;'2026/01/24'
'23106';'15303910';16;2025;11;3;'2026/01/24'
'23106';'15474217';29;2025;11;3;'2026/01/24'
'23107';'14064873';4;2025;11;3;'2026/01/24'
'23107';'14954868';1;2025;11;3;'2026/01/24'
'23107';'14954892';12;2025;11;3;'2026/01/24'
'23108';'14758699';9;2025;11;3;'2026/01/24'
'23108';'14954892';4;2025;11;3;'2026/01/24'
'23108';'14989809';12;2025;11;3;'2026/01/24'
'23108';'15168156';6;2025;11;3;'2026/01/24'
'23109';'14954892';11;2025;11;3;'2026/01/24'
'23110';'14954892';8;2025;11;3;'2026/01/24'
'23110';'14989770';8;2025;11;3;'2026/01/24'
'23110';'14989809';4;2025;11;3;'2026/01/24'
'23110';'15095284';11;2025;11;3;'2026/01/24'
'23110';'15489099';11;2025;11;3;'2026/01/24'
'23112';'14954892';9;2025;11;3;'2026/01/24'
'23113';'14989809';9;2025;11;3;'2026/01/24'
'23113';'15474217';36;2025;11;3;'2026/01/24'
'23114';'14064873';3;2025;11;3;'2026/01/24'
'23114';'14758699';8;2025;11;3;'2026/01/24'
'23114';'14989788';12;2025;11;3;'2026/01/24'
'23114';'14989809';1;2025;11;3;'2026/01/24'
'23114';'15298014';28;2025;11;3;'2026/01/24'
'23114';'15303872';11;2025;11;3;'2026/01/24'
'23114';'15474217';16;2025;11;3;'2026/01/24'
'23115';'14954892';13;2025;11;3;'2026/01/24'
'23115';'14989825';24;2025;11;3;'2026/01/24'
'23115';'15095284';10;2025;11;3;'2026/01/24'
'23116';'14954892';12;2025;11;3;'2026/01/24'
'23117';'14682882';11;2025;11;3;'2026/01/24'
'23117';'14758699';3;2025;11;3;'2026/01/24'
'23117';'14954892';7;2025;11;3;'2026/01/24'
'23117';'14989809';9;2025;11;3;'2026/01/24'
'23117';'15095284';5;2025;11;3;'2026/01/24'
'23117';'15168156';60;2025;11;3;'2026/01/24'
'23117';'15303872';8;2025;11;3;'2026/01/24'
'23117';'15311581';8;2025;11;3;'2026/01/24'
'23117';'15474217';44;2025;11;3;'2026/01/24'
'23118';'14954892';5;2025;11;3;'2026/01/24'
'23119';'14064873';7;2025;11;3;'2026/01/24'
'23119';'14682882';46;2025;11;3;'2026/01/24'
'23119';'14758699';14;2025;11;3;'2026/01/24'
'23119';'14954892';5;2025;11;3;'2026/01/24'
'23119';'14989825';9;2025;11;3;'2026/01/24'
'23119';'14989833';4;2025;11;3;'2026/01/24'
'23119';'15298014';88;2025;11;3;'2026/01/24'
'23119';'15311581';3;2025;11;3;'2026/01/24'
'23119';'15384553';1;2025;11;3;'2026/01/24'
'23119';'15521562';6;2025;11;3;'2026/01/24'
'23120';'14682882';10;2025;11;3;'2026/01/24'
'23120';'14954892';12;2025;11;3;'2026/01/24'
'23120';'14989825';5;2025;11;3;'2026/01/24'
'23120';'15521562';30;2025;11;3;'2026/01/24'
'23121';'14682882';35;2025;11;3;'2026/01/24'
'23121';'14954892';12;2025;11;3;'2026/01/24'
'23121';'14989809';1;2025;11;3;'2026/01/24'
'23121';'15384553';1;2025;11;3;'2026/01/24'
'23122';'14758699';9;2025;11;3;'2026/01/24'
'23122';'14954892';9;2025;11;3;'2026/01/24'
'23122';'14989825';8;2025;11;3;'2026/01/24'
'23122';'15298014';4;2025;11;3;'2026/01/24'
'23122';'15303872';11;2025;11;3;'2026/01/24'
'23122';'15474217';1;2025;11;3;'2026/01/24'
'23123';'14758699';14;2025;11;3;'2026/01/24'
'23123';'14954868';20;2025;11;3;'2026/01/24'
'23123';'15095284';14;2025;11;3;'2026/01/24'
'23124';'14682882';3;2025;11;3;'2026/01/24'
'23124';'14954892';14;2025;11;3;'2026/01/24'
'23124';'14989825';10;2025;11;3;'2026/01/24'
